Team,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
ARI,30,40,50,40,78.1,34.2,40.6,0,47.5,47.5,51.3,64.3,46.5,40.6,35.7,59.4,47.5,31.9
ATL,40,50,30,60,0,31.1,34.2,59.4,47.5,46.5,67.3,64.3,53.5,51.3,40.6,40.6,35.7,75.2
BAL,80,60,55,75,47.5,31.1,0,72.4,68.1,54.5,79.1,86,72.4,68.1,64.3,78.1,46.5,59.4
BUF,75,90,65,80,79.1,69,0,81.1,59.4,72.4,72.4,54.5,64.3,75.2,72.4,81.1,52.5,89.3
CAR,30,30,45,20,48.8,35.7,45.5,18.9,7.6,64.3,32.7,24.8,21.9,0,51.3,35.7,40.6,27.7
CHI,60,30,50,25,0,31.9,78.1,27.7,46.5,67.3,40.6,51.3,21.9,27.7,70.7,35.7,35.7,35.7
CIN,60,40,50,45,7.6,13.5,51.3,68.1,53.5,0,40.6,59.4,27.7,24.8,35.7,50,52.5,70.7
CLE,25,45,30,15,35.7,29.4,47.5,34.2,0,40.6,20.9,34.2,34.2,54.5,29.4,18.9,35.7,29.4
DAL,60,40,60,50,54.5,64.3,47.5,34.2,52.5,0,50,31.9,40.6,27.7,50,46.5,35.7,54.5
DEN,75,40,50,60,35.7,72.4,78.1,65.8,2,70.7,50,0,47.5,59.4,48.8,69,35.7,52.5
DET,70,60,50,70,86,48.8,69,0,65.8,52.5,35.7,81.1,53.5,72.4,46.5,68.1,53.5,64.3
GB,50,45,80,75,0,90,59.4,59.4,86,50,75.2,67.3,46.5,72.4,51.3,64.3,53.5,54.5
HOU,30,50,80,60,52.5,0,52.5,59.4,53.5,68.1,70.7,45.5,-0.5,35.7,64.3,69,40.6,64.3
IND,40,25,50,65,75.2,65.8,35.7,72.4,45.5,53.5,0,31.9,0.5,51.3,47.5,51.3,64.3,35.7
JAX,70,40,67,50,35.7,52.5,29.4,0,46.5,31.9,40.6,35.7,54.5,48.8,64.3,31.1,35.7,67.3
KC,80,90,60,80,64.3,51.3,75.2,64.3,40.6,0,50,68.1,59.4,64.3,59.4,79.1,64.3,65.8
LAC,54.5,69,64.3,59.4,54.5,69,64.3,59.4,72.4,64.3,59.4,0,70.7,45.5,40.6,53.5,59.4,47.5
LAR,80.2,69,70.7,65,80.2,69,70.7,0,92.4,52.5,70.7,68.1,78.1,59.4,53.5,59.4,64.3,68.1
LV,24.8,72.4,24.8,60,24.8,72.4,24.8,0,53.5,29.4,50,65.8,29.4,40.6,18.9,31.1,64.3,34.2
MIA,51.3,31.1,52.5,40.6,51.3,31.1,52.5,40.6,31.9,27.7,34.2,0,70.7,51.3,34.2,50,47.5,40.6
MIN,64.3,50,35.7,40.6,64.3,0,35.7,40.6,34.2,45.5,59.4,32.7,0.5,52.5,50,64.3,46.5,45.5
NE,20.9,64.3,54.5,65.8,20.9,64.3,54.5,65.8,52.5,35.7,64.3,40.6,64.3,0,27.7,7.5,52.5,59.4
NO,53.5,35.7,21.9,31.1,53.5,35.7,21.9,31.1,7.6,35.7,0,35.7,29.4,20.9,48.8,47.5,40.6,24.8
NYG,46.5,21.9,21.9,13.5,46.5,21.9,21.9,13.5,35.7,32.7,24.8,18.9,35.7,0,34.2,35.7,35.7,45.5
NYJ,45.5,27.7,54.5,31.9,45.5,27.7,54.5,31.9,0,59.4,35.7,7.6,46.5,48.8,35.7,52.5,47.5,10.7
PHI,64.3,78.1,64.3,90,64.3,78.1,64.3,90,0,50,64.3,68.1,78.1,54.5,81.1,59.4,47.5,70.7
PIT,60,70.7,48.8,40.6,0,70.7,48.8,40.6,54.5,35.7,59.4,48.8,35.7,31.9,65.8,31.9,64.3,40.6
SEA,64.3,47.5,47.5,50,64.3,47.5,47.5,0,35.7,52.5,29.4,64.3,50,48.8,52.5,40.6,59.4,35.7
SF,19.8,46.5,65.8,40.6,19.8,46.5,65.8,40.6,64.3,47.5,48.8,75.2,65.8,0,79.1,48.8,64.3,64.3
TB,35.7,53.5,31.1,69,35.7,53.5,31.1,69,0,64.3,27.7,31.9,53.5,79.1,59.4,64.3,52.5,72.4
TEN,21.9,27.7,45.5,27.7,21.9,27.7,45.5,27.7,27.7,0,29.4,35.7,45.5,45.5,20.9,20.9,59.4,32.7
WAS,45.5,68.1,52.5,35.7,45.5,68.1,52.5,35.7,64.3,47.5,65.8,0,52.5,47.5,65.8,40.6,64.3,29.4
